beneficiaire_normalise,ode_thematique,ode_sous_categorie,ode_confiance,ode_date_recherche,ode_source
LIRE A PARIS,Éducation,Promotion de la lecture et lutte contre l'illettrisme,0.9,2026-04-20,llm_gemini
LOGEMENT GEST IMMOBILIERE REG PARIS,Logement,Gestion immobilière et logement social (RIVP),1.0,2026-04-20,llm_gemini
LOGEMENT JEUNES TRAVAILLEURS,Logement,Foyers de jeunes travailleurs,1.0,2026-04-20,llm_gemini
LOGIREP,Logement,Logement social (bailleur social),0.93,2026-02-18,llm_claude
LOISIRS PLURIEL 19EME,Social - Solidarité,Inclusion handicap et loisirs,1.0,2026-04-20,llm_gemini
LOISIRS PLURIEL DE PARIS 6,Social - Solidarité,Loisirs adaptés (handicap),0.95,2026-04-20,llm_gemini
LOISIRS PLURIEL DU 19EME,Social - Solidarité,Loisirs pour enfants en situation de handicap dans le 19e,0.8,2026-02-18,llm_claude
LOISIRS RESIDENTIELS DES MARINIERS,Social - Solidarité,Loisirs et hébergement pour mariniers / gens du voyage,0.6,2026-02-18,llm_claude
LULU DANS MA RUE,Économie,Insertion par l'activité économique / Conciergerie solidaire,0.95,2026-04-20,llm_gemini
LYCEE DES METIERS BOULLE E S A A,Éducation,"Lycée des métiers (École Boulle, arts appliqués)",0.95,2026-02-18,llm_claude
LYCEE DES METIERS BOULLE E.S.A.A.,Éducation,Enseignement supérieur et métiers d'art,1.0,2026-04-20,llm_gemini
LYCEE PROFESSIONNEL CAMILLE JENATZY,Éducation,Lycée professionnel,1.0,2026-04-20,llm_gemini
LYCEE PROFESSIONNEL GASTON BACHELAR,Éducation,Lycée professionnel,1.0,2026-04-20,llm_gemini
LYCEE PROFESSIONNEL MARIA DERAISMES,Éducation,Lycée professionnel,1.0,2026-04-20,llm_gemini
LYCEE PROFESSIONNEL PIERRE LESCOT,Éducation,Lycée professionnel,1.0,2026-04-20,llm_gemini
LYCEE PROFESSIONNEL RENE CASSIN,Éducation,Enseignement professionnel (Lycée),1.0,2026-04-20,llm_gemini
LYCEE PROFESSIONNEL SUZANNE VALADON,Éducation,Enseignement professionnel (Lycée),1.0,2026-04-20,llm_gemini
LYCEE PROFESSIONNEL THEOPHILE GAUTI,Éducation,Lycée professionnel Théophile Gautier,0.97,2026-02-18,llm_claude
LYCEE TECHNOLOGIQ-EC.NAT.SUP.ARTS A,Éducation,Lycée et enseignement supérieur (Arts appliqués),1.0,2026-04-20,llm_gemini
LYCEE TECHNOLOGIQUE ESTIENNE E S A,Éducation,"Lycée technologique (École Estienne, arts graphiques)",0.92,2026-02-18,llm_claude
LYCEE TECHNOLOGIQUE ESTIENNE E.S.A.,Éducation,Enseignement supérieur et technique,1.0,2026-04-20,llm_gemini
LYCEE TECHNOLOGIQUE ESTIENNE ESA,Éducation,Lycée technologique - École Estienne (arts graphiques),0.95,2026-02-18,llm_claude
LYCEE TECHNOLOGIQUE JACQUES MONOD,Éducation,Enseignement secondaire technologique,1.0,2026-04-20,llm_gemini
LYCEE TECHNOLOGIQUE LUCAS DE NEHOU,Éducation,Enseignement secondaire technologique,1.0,2026-04-20,llm_gemini
LYCEE TECHNOLOGIQUE M VOX-ART-DESSI,Éducation,Lycée technologique d'arts appliqués,1.0,2026-04-20,llm_gemini
LYCEE TECHNOLOGIQUE MUN DUPERRE ESA,Éducation,Lycée technologique municipal (École Duperré - arts appliqués),0.95,2026-02-18,llm_claude
M.U,Culture,Collectif artistique et sonore (MU),0.85,2026-04-20,llm_gemini
MADLINE,Autre,,0.25,2026-02-18,llm_claude
MAGRO HUERTAS,Culture,Compagnie de spectacle vivant (danse/théâtre),0.85,2026-04-20,llm_gemini
MAIA AUTISME,Social - Solidarité,Accompagnement du handicap (autisme),1.0,2026-04-20,llm_gemini
MAIRIE DE VALENCE,Administration,Collectivité territoriale,1.0,2026-04-20,llm_gemini
MAISON BAKHITA,Social - Solidarité,Hébergement et accompagnement de femmes en situation de précarité / réfugiées,0.88,2026-02-18,llm_claude
MAISON CANAL,Social - Solidarité,Maison de quartier / espace solidaire,0.5,2026-02-18,llm_claude
MAISON DE L ENFANCE,Social - Petite enfance,Structure d'accueil de la petite enfance / enfance,0.85,2026-02-18,llm_claude
MAISON DE L EUROPE DE PARIS,International,Promotion de la citoyenneté européenne et affaires européennes,0.85,2026-02-18,llm_claude
MAISON DE L EUROPE DE PARIS CTRE,International,Affaires européennes et citoyenneté européenne,0.85,2026-02-18,llm_claude
MAISON DE L'EUROPE DE PARIS,International,Affaires européennes et citoyenneté,1.0,2026-04-20,llm_gemini
MAISON DE L'EUROPE DE PARIS CTRE,International,Affaires européennes,1.0,2026-04-20,llm_gemini
MAISON DE LA CONVERSATION,Culture,Lien social et échanges culturels / art de la conversation,0.6,2026-02-18,llm_claude
MAISON DE LA POESIE,Culture,Maison de la Poésie - lieu culturel dédié à la poésie et à la littérature,0.98,2026-02-18,llm_claude
MAISON DES ADOS ROBERT DEBRE GCSMS,Santé,Maison des adolescents - structure médico-sociale (hôpital Robert Debré),0.85,2026-02-18,llm_claude
MAISON DES BOUT CHOU,Social - Petite enfance,Structure d'accueil petite enfance,0.92,2026-02-18,llm_claude
MAISON DES METALLOS,Culture,Établissement culturel pluridisciplinaire,1.0,2026-04-20,llm_gemini
MAISON DES PRATIQUES ARTISTIQUES AMATEURS,Culture,Pratiques artistiques amateurs,1.0,2026-04-20,llm_gemini
MAISON GESTE IMAGE,Culture,Arts visuels et spectacle vivant,0.95,2026-04-20,llm_gemini
MAISON GESTE IMAGE CTRE RECHERC EDU,Éducation,Éducation artistique et recherche,0.9,2026-04-20,llm_gemini
MAISON KANGOUROU,Social - Petite enfance,Garde d'enfants / crèche familiale,0.85,2026-02-18,llm_claude
MAISON OUVERTE,Social - Petite enfance,Lieu d'accueil enfants-parents / halte-garderie,0.7,2026-02-18,llm_claude
MAISON PRATIQUES ARTISTIQUES AMATEU,Culture,Pratiques artistiques amateurs,1.0,2026-04-20,llm_gemini
MAKE ICI,Économie,Artisanat et insertion économique,0.9,2026-04-20,llm_gemini
MAMA,Culture,Art contemporain / lieu culturel,0.7,2026-02-18,llm_claude
MANUFACTURE,Culture,Lieu de création artistique / spectacle vivant,0.6,2026-02-18,llm_claude
MARGUERITE,Social - Petite enfance,Gestion de structures petite enfance,0.85,2026-04-20,llm_gemini
MARIE THERESE,Social - Solidarité,Hébergement pour personnes âgées (EHPAD),0.8,2026-04-20,llm_gemini
MEDECINS DU MONDE,International,Aide humanitaire et coopération internationale,0.95,2026-02-18,llm_claude
MEDIATION-INSERTION-FORMATION,Social - Solidarité,Insertion sociale et professionnelle,0.95,2026-04-20,llm_gemini
MEDIATIONINSERTIONFORMATION,Social - Solidarité,Insertion professionnelle et formation,1.0,2026-04-20,llm_gemini
MEDICALE BELLEVILLE,Santé,Centre ou association médicale,1.0,2026-04-20,llm_gemini
MEMORIAL DE LA SHOAH,Culture,Musée et mémoire,1.0,2026-04-20,llm_gemini
MENAGERIE VERRE S.A.R.L ATELIERS DA,Culture,Lieu de création chorégraphique et danse contemporaine,1.0,2026-04-20,llm_gemini
MEP - MAISON EUROPEENNE,Culture,Photographie et arts visuels,1.0,2026-04-20,llm_gemini
MEP MAISON EUROPEENNE,Culture,Maison Européenne de la Photographie - arts visuels / photographie,0.99,2026-02-18,llm_claude
METRAMOMES,Social - Petite enfance,Structure d'accueil petite enfance (crèche/halte-garderie),0.8,2026-02-18,llm_claude
MEXICO À PARIS,Culture,Échanges culturels franco-mexicains,0.7,2026-02-18,llm_claude
MINI COCCINELLES,Social - Petite enfance,Crèche / Accueil de la petite enfance,1.0,2026-04-20,llm_gemini
MINISTER ENSEI SUPERI RECHER INNOVA,Éducation,"Ministère de l'Enseignement Supérieur, de la Recherche et de l'Innovation",0.99,2026-02-18,llm_claude
MISSION LOCALE DE PARIS,Économie,Insertion professionnelle des jeunes,0.92,2026-02-18,llm_claude
MISSION LOCALE PARIS,Économie,Insertion professionnelle des jeunes (Mission Locale),0.88,2026-02-18,llm_claude
MOTEUR,Social - Solidarité,Insertion et handicap moteur,0.5,2026-02-18,llm_claude
MOTIVEA,Économie,Insertion professionnelle / accompagnement vers l'emploi,0.5,2026-02-18,llm_claude
MOULIN BLEU,Culture,Compagnie ou lieu de spectacle vivant,0.6,2026-02-18,llm_claude
MOULINOT COMPOST & BIOGAZ,Environnement,Gestion des biodéchets et économie circulaire,1.0,2026-04-20,llm_gemini
MSP QUAI DE SEINE,Santé,Maison de Santé Pluriprofessionnelle (MSP),1.0,2026-04-20,llm_gemini
MSP VINCENT AURIOL,Santé,Maison de Santé Pluriprofessionnelle,1.0,2026-04-20,llm_gemini
MUSEE D ART ET D HISTOIRE DU JUDAIS,Culture,Musée d'Art et d'Histoire du Judaïsme,0.98,2026-02-18,llm_claude
MUSEE D ART ET D HISTOIRE DU JUDAISME,Culture,Musée - patrimoine et histoire du judaïsme,0.99,2026-02-18,llm_claude
MUSEE D'ART ET D'HISTOIRE DU JUDAISME,Culture,Musée et patrimoine,1.0,2026-04-20,llm_gemini
MUSEE EN HERBE,Culture,Musée ludique et pédagogique pour enfants,0.92,2026-02-18,llm_claude
MUSEUM NATIONAL HISTOIRE NATURELLE,Culture,Muséum national d'Histoire naturelle – musée et patrimoine scientifique,0.9,2026-02-18,llm_claude
MUSIQUE SACREE A NOTRE DAME DE PARI,Culture,Musique et patrimoine,1.0,2026-04-20,llm_gemini
MUSIQUES ET CULTURES DIGITALES,Culture,Musique et arts numériques,1.0,2026-04-20,llm_gemini
MUTUELLE LA MAYOTTE,Social - Petite enfance,Crèche parentale / mutuelle petite enfance,0.6,2026-02-18,llm_claude
NAT PREVENT ALCOOL ADDICT,Santé,Prévention des addictions à l'alcool (Association Nationale de Prévention en Alcoologie et Addictologie - ANPAA),0.95,2026-02-18,llm_claude
NATIONALE DE READAPTATION SOCIALE,Social - Solidarité,Réadaptation sociale - insertion et réinsertion,0.85,2026-02-18,llm_claude
NEAG 3,Économie,Développement économique et nouveaux espaces d'activités,0.7,2026-04-20,llm_gemini
NOUVELLE ETOILE DES ENFANTS DE,Culture,Association d'activités pour enfants (danse/spectacle),0.5,2026-02-18,llm_claude
NOUVELLE ETOILE DES ENFANTS DE F,Culture,Association culturelle/éducative pour enfants (probablement danse ou spectacle),0.5,2026-02-18,llm_claude
NOUVELLE IDEE DE LA CRECHE PARIS,Social - Petite enfance,Établissement d'accueil du jeune enfant (Crèche),1.0,2026-04-20,llm_gemini
NOVEMPLOI,Économie,Emploi et insertion,0.95,2026-04-20,llm_gemini
NOVIGERE SOCIETE ANONYME,Logement,Bailleur social (HLM),1.0,2026-04-20,llm_gemini
OBSERV MOND VILLES SUR QUAL AIR GUA,Environnement,Observatoire mondial des villes sur la qualité de l'air (garantie),0.9,2026-02-18,llm_claude
OBSERVAT LOYERS AGGLO PARISIENNE,Logement,Observatoire des loyers de l'agglomération parisienne,0.9,2026-02-18,llm_claude
OBSERVATOIRE REGION DU BRUIT EN IDF,Environnement,Bruitparif - Observatoire régional du bruit en Île-de-France,0.85,2026-02-18,llm_claude
OEUV CHAUSS MAI-CENT ETU ACT SOC IN,Social - Solidarité,Insertion et action sociale,1.0,2026-04-20,llm_gemini
OEUVRE DE LA MIE DE PAIN,Social - Solidarité,Hébergement d'urgence et aide alimentaire,0.95,2026-02-18,llm_claude
OEUVRE DE SECOURS AUX ENFANTS,Social - Solidarité,Protection de l'enfance et aide humanitaire (OSE),0.95,2026-02-18,llm_claude
OEUVRE HOSPITALITE TRAVAIL,Social - Solidarité,Hébergement et insertion par le travail,0.8,2026-02-18,llm_claude
OEUVRES D AVENIR,Social - Solidarité,Œuvres caritatives et solidarité,0.7,2026-02-18,llm_claude
OEUVRES DES OTAGES,Social - Solidarité,Action sociale et personnes âgées,0.9,2026-04-20,llm_gemini
OEUVRES HOSP FR DE L ORDRE DE MALTE,Social - Solidarité,"Aide humanitaire, hébergement et soins aux personnes vulnérables",0.92,2026-02-18,llm_claude
OFFICE CENTR COOPERAT ECOLE PARIS,Éducation,Office Central de la Coopération à l'École (OCCE) - coopératives scolaires,0.95,2026-02-18,llm_claude
OFFICE DE TOURISME ET DES CONGRES P,Économie,Office de tourisme et des congrès de Paris - promotion touristique et économique,0.85,2026-02-18,llm_claude
OFFICE DE TOURISME ET DES CONGRES PARIS,Économie,Tourisme et promotion économique de Paris,0.9,2026-02-18,llm_claude
OFFICE TOURISME CONGRES PARIS,Économie,Office du tourisme et des congrès de Paris,0.9,2026-02-18,llm_claude
OFFICE TOURISME ET CONGRES PARIS,Économie,Office de tourisme et des congrès de Paris,0.88,2026-02-18,llm_claude
OHEL ESTHER,Social - Petite enfance,Structure d'accueil petite enfance communautaire,0.55,2026-02-18,llm_claude
OLGA SPITZER,Social - Solidarité,Protection de l'enfance et aide sociale,0.9,2026-02-18,llm_claude
ONZIEME EVENEMENTS  FESTIVAL ONZE BOUGE,Culture,Festival pluridisciplinaire,1.0,2026-04-20,llm_gemini
OPERATEUR DE COMPETENCES,Économie,Formation professionnelle (OPCO),0.95,2026-04-20,llm_gemini
OPPELIA,Santé,Prévention des addictions et accompagnement médico-social,0.92,2026-02-18,llm_claude
OPTIM EMPLOI,Économie,Insertion professionnelle et emploi,1.0,2026-04-20,llm_gemini
ORCHESTRE COLONNE,Culture,Musique symphonique,1.0,2026-04-20,llm_gemini
ORCHESTRE CONCERTS LAMO,Culture,Musique symphonique (Orchestre Lamoureux),1.0,2026-04-20,llm_gemini
ORCHESTRE DE CHAMBRE DE PARIS,Culture,Orchestre / musique classique,0.99,2026-02-18,llm_claude
ORCHESTRE DE PARIS,Culture,Orchestre symphonique,0.99,2026-02-18,llm_claude
ORGANIS PAN AFRICAINE LUTTE P SANTE,Santé,Organisation panafricaine de lutte pour la santé,0.92,2026-02-18,llm_claude
ORGANISATION INTERNAT MIGRATIONS,International,Organisation internationale et migrations,1.0,2026-04-20,llm_gemini
OZAR HATORAH PARIS ONZE CRECHE,Social - Petite enfance,Crèche,1.0,2026-04-20,llm_gemini
OZAR HATORAH PARIS TREIZE CRECHE,Social - Petite enfance,"Crèche associative (réseau Ozar Hatorah, Paris 13e)",0.95,2026-02-18,llm_claude
PARADOXES,Culture,Compagnie de théâtre / Spectacle vivant,0.8,2026-04-20,llm_gemini
PARCOURS INSERTION FLES PARIS,Social - Solidarité,Insertion par l'apprentissage du français (FLE) pour publics migrants,0.9,2026-02-18,llm_claude
PARENT ELEVE JARDIN ENFANT FR A,Social - Petite enfance,Association de parents d'élèves en jardin d'enfants,1.0,2026-04-20,llm_gemini
PARIS 13 ATLETICO,Sport,Club sportif (football/athlétisme) du 13e arrondissement,0.95,2026-02-18,llm_claude
PARIS 2018,Sport,Organisation des Gay Games 2018,0.95,2026-04-20,llm_gemini
PARIS 2024 COMITE D ORGANISAT DES,Sport,Comité d'organisation des Jeux Olympiques Paris 2024,0.98,2026-02-18,llm_claude
PARIS 2024 COMITE D ORGANISATION,Sport,Comité d'organisation des Jeux Olympiques Paris 2024,0.99,2026-02-18,llm_claude
PARIS 2024 COMITE D'ORGANISAT DES,Sport,Organisation des Jeux Olympiques et Paralympiques,1.0,2026-04-20,llm_gemini
PARIS 2024 COMITE D'ORGANISATION,Sport,Organisation des Jeux Olympiques et Paralympiques,1.0,2026-04-20,llm_gemini
PARIS 92,Sport,Club sportif (football/rugby),0.75,2026-02-18,llm_claude
PARIS ACASA FUTSAL,Sport,Club de futsal,0.95,2026-02-18,llm_claude
PARIS AIDE AUX VICTIMES,Social - Solidarité,Aide aux victimes et accès au droit,1.0,2026-04-20,llm_gemini
PARIS ANIMATION CULT ET SPORT,Culture,Animation culturelle et sportive parisienne - dominante culturelle,0.55,2026-02-18,llm_claude
PARIS ATELIERS,Culture,Ateliers d'arts plastiques et pratiques artistiques,0.95,2026-02-18,llm_claude
PARIS ATHLE 2020,Sport,Athlétisme,0.95,2026-02-18,llm_claude
PARIS AUDIO VISUEL MEP,Culture,Maison Européenne de la Photographie - photographie et audiovisuel,0.98,2026-02-18,llm_claude
PARIS BASKET 18E,Sport,Club de basketball du 18e arrondissement,0.98,2026-02-18,llm_claude
PARIS BASKETBALL,Sport,Club de basketball professionnel,0.99,2026-02-18,llm_claude
PARIS CINE,Culture,Cinéma - promotion et diffusion cinématographique,0.9,2026-02-18,llm_claude
PARIS DANCE PROJECT,Culture,Danse,1.0,2026-04-20,llm_gemini
PARIS ET COMPAGNIE,Économie,Paris&Co - agence de développement économique et innovation de Paris,0.9,2026-02-18,llm_claude
PARIS FOOTBALL CLUB,Sport,Club de football professionnel,0.99,2026-02-18,llm_claude
PARIS HABITAT OPH,Logement,Office public de l'habitat - logement social,0.97,2026-02-18,llm_claude
PARIS HABITAT-OPH,Logement,Logement social (OPH),1.0,2026-04-20,llm_gemini
PARIS INITIATIVE ENTREPRISE,Économie,Aide à la création d'entreprise / microfinance,0.95,2026-02-18,llm_claude
PARIS INITIATIVES ENTREPRISES,Économie,Paris Initiatives Entreprises - microfinance et aide à la création d'entreprise,0.95,2026-02-18,llm_claude
PARIS MUSEES,Culture,Musées municipaux parisiens,0.99,2026-02-18,llm_claude
PARIS MUSIC,Culture,Musique et festivals,1.0,2026-04-20,llm_gemini
PARIS SAINT-GERMAIN HANDBALL,Sport,Club de handball professionnel,1.0,2026-04-20,llm_gemini
PARIS UNIVERSITE CLUB,Sport,Club sportif universitaire omnisports,0.95,2026-02-18,llm_claude
PARIS VOLLEY AVENIR,Sport,Club de volley-ball parisien,0.95,2026-02-18,llm_claude
PARLER A D AUTRES,Santé,Soutien psychologique et écoute - santé mentale,0.6,2026-02-18,llm_claude
PARLER A D'AUTRES,Social - Solidarité,Lien social et lutte contre l'isolement,0.9,2026-04-20,llm_gemini
PAROLES VOYAGEUSES,Culture,"Littérature, contes et arts de la parole",0.8,2026-02-18,llm_claude
PARRAINS PAR'MILLE,Social - Solidarité,Parrainage d'enfants et mentorat,1.0,2026-04-20,llm_gemini
PASS SPORT S POUR L EMPLOI,Économie,Insertion professionnelle par le sport,0.9,2026-04-20,llm_gemini
PASS W,Social - Solidarité,Insertion sociale et professionnelle,0.8,2026-04-20,llm_gemini
PASSERELLE  17 AS POUR LA REGIE,Économie,Insertion économique (Régie de quartier),0.9,2026-04-20,llm_gemini
PASSERELLE 17 AS POUR LA REGIE,Social - Solidarité,Régie de quartier du 17e - insertion et lien social,0.7,2026-02-18,llm_claude
PASSERELLE ASSIST AIDANT RESAF,Social - Solidarité,Aide aux aidants familiaux et réseau d'assistance,0.85,2026-02-18,llm_claude
PAVILLON DE L ARSENAL,Culture,Architecture et urbanisme,1.0,2026-04-20,llm_gemini
PAX PROGRES PALLAS,Sport,Club sportif multisports (association sportive parisienne),0.6,2026-02-18,llm_claude
PETIT BAIN,Culture,Salle de concerts et lieu culturel flottant,0.92,2026-02-18,llm_claude
PETIT NEY,Culture,Lieu culturel associatif (18e arrondissement),0.8,2026-02-18,llm_claude
PETITE ENFANCE ET PARENTAL,Social - Petite enfance,Soutien à la parentalité et petite enfance,1.0,2026-04-20,llm_gemini
PETITE REINE,Transport,Livraison urbaine à vélo / mobilité douce,0.85,2026-02-18,llm_claude
PETITE ROCKETTE,Économie,"La Petite Rockette - ressourcerie, réemploi, économie sociale et solidaire",0.75,2026-02-18,llm_claude
PICOULET MISSION POPULAIRE XIE,Social - Solidarité,Mission populaire évangélique - hébergement et aide sociale,0.8,2026-02-18,llm_claude
PIEDS TENDRES,Social - Petite enfance,Structure d'accueil petite enfance / crèche associative,0.65,2026-02-18,llm_claude
PIMMS DE PARIS,Social - Solidarité,Médiation sociale et accès aux droits,0.95,2026-04-20,llm_gemini
PIROUETT,Social - Petite enfance,Crèche ou halte-garderie,0.9,2026-04-20,llm_gemini
PLAISIR D ENFANCE,Social - Petite enfance,Éducation alternative et petite enfance,0.95,2026-04-20,llm_gemini
PLAN INTERNATIONAL FRANCE,International,ONG aide au développement et droits de l'enfant,1.0,2026-04-20,llm_gemini
PLANETE DES ENFANTS,Social - Petite enfance,Structure d'accueil petite enfance,0.85,2026-02-18,llm_claude
PLATEAUX SAUVAGES,Culture,Lieu de création artistique (spectacle vivant),0.93,2026-02-18,llm_claude
POLE SUP ENSEIGNEM ARTISTIQ PARIS,Éducation,Pôle supérieur d'enseignement artistique de Paris (PSPBB),0.85,2026-02-18,llm_claude
POLE SUP ENSEIGNEM ARTISTIQ PARIS-,Éducation,Enseignement supérieur artistique,1.0,2026-04-20,llm_gemini
POLYNOTES 75,Culture,Association musicale,0.75,2026-02-18,llm_claude
POSITIVE,Économie,Insertion économique et entrepreneuriat,0.85,2026-04-20,llm_gemini
POSITIVE PLANET,Économie,Insertion économique et microfinance,0.95,2026-04-20,llm_gemini
POUR DEVELOPPEMENT SANTE FEMMES,Santé,Santé des femmes,1.0,2026-04-20,llm_gemini
POUR L AIDE AUX MERES DE FAMI,Social - Solidarité,Aide aux mères de famille en difficulté,0.9,2026-02-18,llm_claude
POUSSINS D ANNAM,Social - Petite enfance,Crèche / halte-garderie (Les Poussins d'Annam),0.85,2026-02-18,llm_claude
PREFECTURE DE POLICE DE PARIS,Sécurité,Préfecture de police de Paris,0.99,2026-02-18,llm_claude
PREVENTION SITE VILLETTE,Social - Solidarité,Prévention spécialisée et médiation sociale,0.9,2026-04-20,llm_gemini
PRIBON BELLEVILLE,Social - Solidarité,Prévention spécialisée (Belleville),0.85,2026-04-20,llm_gemini
PRIBON CRIMEE,Logement,Résidence sociale ou foyer,0.9,2026-04-20,llm_gemini
PRIMO LEVI,Social - Solidarité,Aide aux réfugiés et victimes de torture,0.95,2026-04-20,llm_gemini
PRO INSERT,Économie,Insertion professionnelle,0.85,2026-02-18,llm_claude
PROJETS 19,Social - Solidarité,Association d'insertion et solidarité dans le 19e arrondissement,0.6,2026-02-18,llm_claude
PROJETS-19,Social - Solidarité,Insertion et développement local,0.9,2026-04-20,llm_gemini
PROJETS19,Économie,Insertion économique et développement local,0.9,2026-04-20,llm_gemini
PROTECTION CIVILE DE PARIS,Sécurité,Secours et protection civile,0.95,2026-04-20,llm_gemini
PROTECTION CIVILE PARIS SEINE,Sécurité,Protection civile - secourisme et prévention,0.9,2026-02-18,llm_claude
PUC RUGBY,Sport,Club de rugby (Paris Université Club),1.0,2026-04-20,llm_gemini
PUC VOLLEY BALL,Sport,Club de volley-ball (Paris Université Club),0.99,2026-02-18,llm_claude
QUEL UNIVERS INVENTER,Culture,Compagnie de spectacle vivant / création artistique,0.7,2026-02-18,llm_claude
R.G.F DE PARIS - ETS INTERDEPART,Administration,Établissement public interdépartemental,0.9,2026-04-20,llm_gemini
RACING MULTI ATHLON,Sport,Club omnisports,1.0,2026-04-20,llm_gemini
RATP,Transport,Régie Autonome des Transports Parisiens - transports en commun,0.98,2026-02-18,llm_claude
RATP HABITAT,Logement,RATP Habitat - bailleur social du groupe RATP,0.93,2026-02-18,llm_claude
RECTORAT DE L ACADEMIE DE PARIS,Éducation,Rectorat - institution éducative publique,0.98,2026-02-18,llm_claude
RECTORAT DE L'ACADEMIE DE PARIS,Éducation,Administration de l'enseignement scolaire,1.0,2026-04-20,llm_gemini
REFER RESEAU FRANCILIEN DU REEMPLOI,Environnement,Réseau de ressourceries et recyclage,1.0,2026-04-20,llm_gemini
REGIE AUTONOME TRANSPORTS PARISIENS,Transport,RATP - transports en commun parisiens,0.99,2026-02-18,llm_claude
REGIE DE QUARTIER DU 19E,Social - Solidarité,Régie de quartier - insertion et lien social,0.85,2026-02-18,llm_claude
REGIE DE QUARTIER FONTAINE AU ROI,Social - Solidarité,Régie de quartier et insertion,0.95,2026-04-20,llm_gemini
REGIE DE QUARTIER PARIS CENTRE,Social - Solidarité,Régie de quartier - insertion et lien social,0.85,2026-02-18,llm_claude
REGIE DE QUARTIERS TELA 13,Social - Solidarité,Régie de quartier et insertion par l'activité économique,0.95,2026-04-20,llm_gemini
REGIE ECOLE INGENIEURS VILLE PARIS,Éducation,EIVP - École des Ingénieurs de la Ville de Paris,0.95,2026-02-18,llm_claude
REGIE ECOLE SUP PHYSIQUE CHIMIE IND,Éducation,École supérieure de physique et chimie industrielles (ESPCI),0.95,2026-02-18,llm_claude
REGIE IMMOBILIERE DE LA VILLE DE PA,Logement,Régie immobilière de la Ville de Paris (RIVP) - logement social (nom tronqué),0.95,2026-02-18,llm_claude
REGIE IMMOBILIERE DE LA VILLE DE PARIS,Logement,Régie immobilière de la Ville de Paris (RIVP) - logement social,0.95,2026-02-18,llm_claude
REGIE IMMOBILIERE DE LA VILLE PARIS,Logement,Gestion immobilière et logement social,0.95,2026-02-18,llm_claude
REGIE IMMOBILIERE VILLE DE PARIS,Logement,Régie Immobilière de la Ville de Paris - logement social,0.95,2026-02-18,llm_claude
REGION INSERTION ECONOMIQUE SOC,Économie,Insertion économique,1.0,2026-04-20,llm_gemini
REHABAIL,Logement,Aide au logement / réhabilitation de logements,0.8,2026-02-18,llm_claude
REJOUE,Économie,Insertion économique et recyclage,0.95,2026-04-20,llm_gemini
RELAIS 59,Social - Solidarité,Centre social et maison de quartier (12e arrondissement),0.88,2026-02-18,llm_claude
RELAIS MENILMONTANT,Social - Solidarité,Centre social et d'animation de quartier (Ménilmontant),0.75,2026-02-18,llm_claude
REMG REMISE GRACIEUSE,Administration,Remise gracieuse de créance - procédure administrative,0.6,2026-02-18,llm_claude
REMG Remise gracieuse,Administration,Remise gracieuse / Opération comptable,0.9,2026-04-20,llm_gemini
REMISES GRACIEUSES,Administration,Remises gracieuses de dettes/créances,0.85,2026-02-18,llm_claude
REPARESEB,Économie,Insertion économique et économie circulaire,0.9,2026-04-20,llm_gemini
REPUBLIQUE ENFANTS,Social - Petite enfance,Accueil et éducation des jeunes enfants,0.65,2026-02-18,llm_claude
RES PARIS ATEL VELO PART SOLID,Transport,Atelier vélo participatif et solidaire,0.82,2026-02-18,llm_claude
RES. PARIS. ATEL. VELO PART. SOLID.,Environnement,Ateliers vélo et mobilité durable,0.95,2026-04-20,llm_gemini
RESEAU FRANCILIEN DU REEMPLOI,Environnement,Économie circulaire et réemploi,0.95,2026-04-20,llm_gemini
RESEAU MOM ARTRE,Social - Petite enfance,Garde d'enfants et soutien à la parentalité,0.93,2026-02-18,llm_claude
RESEAU MOM'ARTRE,Éducation,Accueil périscolaire et artistique,0.9,2026-04-20,llm_gemini
RESEAU TREIZE,Santé,Réseau de santé et gérontologie,0.9,2026-04-20,llm_gemini
RESOQUARTIER,Social - Solidarité,Réseau de solidarité de quartier / lien social,0.6,2026-02-18,llm_claude
RESSOURCERIE CREATIVE,Environnement,Ressourcerie - réemploi et économie circulaire créative,0.85,2026-02-18,llm_claude
RESSOURCES,Social - Solidarité,Association d'insertion / accompagnement social (nom générique),0.45,2026-02-18,llm_claude
RESTAURANTS DU C UR,Social - Solidarité,Aide alimentaire,0.99,2026-02-18,llm_claude
RESTAURANTS DU CŒUR,Social - Solidarité,Aide alimentaire et insertion,1.0,2026-04-20,llm_gemini
RESTAUS DU COEUR LES RELAIS COEUR P,Social - Solidarité,Aide alimentaire - Restos du Cœur relais de Paris,0.97,2026-02-18,llm_claude
RETRAITE CONSEILLERS MUNICIPAUX PAR,Administration,Caisse de retraite des conseillers municipaux de Paris,0.92,2026-02-18,llm_claude
REUZ FRANCE,Environnement,Économie circulaire et réduction des déchets,0.95,2026-04-20,llm_gemini
REVOIR NOTRE DAME DE PARIS,Culture,Patrimoine - Notre-Dame de Paris,0.9,2026-02-18,llm_claude
REVOIR NOTRE-DAME DE PARIS,Culture,Patrimoine et restauration de monuments,0.95,2026-04-20,llm_gemini
REZ DE RAIL,Environnement,"Tiers-lieu, écologie urbaine et jardins partagés",0.85,2026-04-20,llm_gemini
